Receiving GAH,,,,,,,,,,,,,,,,,,,,,,
WWT PO Number,ASN Number,Serial Number,Item Description,Line Num,Item Unit Volume,MFG Part Number,Manufacturer,Order Number,Organization Code,Packing Slip,Po Header Id,Po Line Id,Primary UOM Code,Primary Unit of Measure,Quantity,Serial Control,Shipment Quantity,Vendor Name,Receipt Date,Transacted By,Transaction Date Local Time,Transaction Type
0006483330,-,C1-CISCO4451/K9,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,1,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
0006483331,-,NIM-1GE-CU-SFP,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,1,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
0006483332,-,SISR4400UK9-166,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,1,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
0006483333,-,GLC-LH-SMD,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,1,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
0006483334,-,NIM-LTEA-EA,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,1,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
0006483335,-,FW-7455-LTE-VZ,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,1,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
0006483336,-,4G-AE010-R,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,2,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
0006483337,-,LTE-ANTIA-D,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,2,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
0006483338,-,PWR-4450-AC/2,A,1,-,210-AVUW,DELL,-,41,-,5356538,20160987,Ea,Each,4,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
0006483339,-,CAB-AC,,1,-,210-AVUW,DELL,-,42,-,5356538,20160987,Ea,Each,2,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
0006483340,-,MEM-4400-DP-2G,,1,-,210-AVUW,DELL,-,43,-,5356538,20160987,Ea,Each,1,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
0006483341,-,PWR-4450-AC,,1,-,210-AVUW,DELL,-,44,-,5356538,20160987,Ea,Each,1,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
